"","BOX","year","fledglings","fledgling_mass","site","fledgling_massDev"
"93","X35",2018,2,448.9,"CAMPUS",92.08
"94","X35",2019,2,364.5,"CAMPUS",29.7454545454545
"95","X35",2020,0,163.5,"CAMPUS",-129.541666666667
"96","X35",2021,2,308.5,"CAMPUS",104.307692307692
"97","X35",2022,2,305,"CAMPUS",24.0928571428572
"98","X35",2023,1,197,"CAMPUS",-62.6928571428571
"99","X36",2014,3,687.5,"CAMPUS",348.536363636364
"100","X36",2015,3,662.8,"CAMPUS",290.888888888889
"101","X36",2016,3,619.4,"CAMPUS",170.890909090909
"102","X36",2017,1,191.2,"CAMPUS",-101.181818181818
"103","X36",2018,1,235.6,"CAMPUS",-121.22
"104","X36",2019,2,311.3,"CAMPUS",-23.4545454545454
"105","X36",2020,0,276.5,"CAMPUS",-16.5416666666667
"106","X36",2021,1,209,"CAMPUS",4.80769230769232
"107","X36",2022,1,231.8,"CAMPUS",-49.1071428571428
"108","X36",2023,1,212.9,"CAMPUS",-46.7928571428571
"109","X38",2014,3,612.4,"CAMPUS",273.436363636364
"110","X38",2015,2,491.6,"CAMPUS",119.688888888889
"111","X38",2016,3,638.2,"CAMPUS",189.690909090909
"112","X38",2017,3,555.4,"CAMPUS",263.018181818182
"113","X38",2018,3,620.3,"CAMPUS",263.48
"114","X38",2019,2,385.5,"CAMPUS",50.7454545454545
"115","X38",2020,0,0,"CAMPUS",-293.041666666667
"116","X38",2021,2,366.9,"CAMPUS",162.707692307692
"117","X38",2022,2,435.5,"CAMPUS",154.592857142857
"118","X38",2023,0,0,"CAMPUS",-259.692857142857
"119","X39",2014,2,347.9,"CAMPUS",8.93636363636364
"120","X39",2016,3,544.4,"CAMPUS",95.8909090909091
"121","X39",2017,1,174.6,"CAMPUS",-117.781818181818
"122","X39",2018,2,428,"CAMPUS",71.18
"123","X39",2019,2,506.4,"CAMPUS",171.645454545455
"124","X39",2020,0,341.5,"CAMPUS",48.4583333333333
"125","X39",2021,0,0,"CAMPUS",-204.192307692308
"126","X39",2022,3,541.7,"CAMPUS",260.792857142857
"127","X39",2023,0,0,"CAMPUS",-259.692857142857
"128","X40",2013,0,0,"CAMPUS",-112.833333333333
"129","X40",2014,2,471.4,"CAMPUS",132.436363636364
"130","X40",2015,0,0,"CAMPUS",-371.911111111111
"131","Y01",2013,0,0,"STITHIANS",-194.304761904762
"132","Y01",2014,1,224.7,"STITHIANS",-104.639285714286
"133","Y01",2015,3,718.2,"STITHIANS",197.983870967742
"134","Y01",2016,3,661,"STITHIANS",218.887878787879
"135","Y01",2017,3,701.2,"STITHIANS",241.9
"136","Y01",2018,0,0,"STITHIANS",-394.012121212121
"137","Y01",2019,2,469.5,"STITHIANS",122.684848484848
"138","Y01",2020,0,614.4,"STITHIANS",265.970588235294
"139","Y01",2021,2,422.5,"STITHIANS",183.115151515152
"140","Y01",2022,2,462.7,"STITHIANS",152.206060606061
"141","Y01",2023,2,478.4,"STITHIANS",156.909375
"142","Y02",2013,0,0,"STITHIANS",-194.304761904762
"143","Y02",2015,3,648.4,"STITHIANS",128.183870967742
"144","Y02",2016,2,466.5,"STITHIANS",24.3878787878788
"145","Y02",2017,3,570.1,"STITHIANS",110.8
"146","Y02",2018,3,600.8,"STITHIANS",206.787878787879
"147","Y02",2019,2,488.1,"STITHIANS",141.284848484849
"148","Y02",2020,0,372.3,"STITHIANS",23.8705882352941
"149","Y02",2021,3,649.4,"STITHIANS",410.015151515152
"150","Y02",2022,0,0,"STITHIANS",-310.493939393939
"151","Y02",2023,2,484.3,"STITHIANS",162.809375
"152","Y03",2013,0,0,"STITHIANS",-194.304761904762
"153","Y03",2014,0,0,"STITHIANS",-329.339285714286
"154","Y03",2016,2,478.9,"STITHIANS",36.7878787878788
"155","Y03",2017,2,489.9,"STITHIANS",30.6
"156","Y03",2018,2,480.4,"STITHIANS",86.3878787878788
"157","Y03",2019,0,0,"STITHIANS",-346.815151515152
"158","Y03",2020,0,628.6,"STITHIANS",280.170588235294
"159","Y03",2021,2,389.4,"STITHIANS",150.015151515152
"160","Y03",2022,0,0,"STITHIANS",-310.493939393939
"161","Y03",2023,2,556.4,"STITHIANS",234.909375
"162","Y04",2014,2,508.2,"STITHIANS",178.860714285714
"163","Y04",2015,2,454.6,"STITHIANS",-65.6161290322581
"164","Y04",2016,3,586.1,"STITHIANS",143.987878787879
"165","Y04",2017,2,417.8,"STITHIANS",-41.5
"166","Y04",2018,0,0,"STITHIANS",-394.012121212121
"167","Y04",2019,1,250.1,"STITHIANS",-96.7151515151515
"168","Y04",2020,0,0,"STITHIANS",-348.429411764706
"169","Y04",2021,0,0,"STITHIANS",-239.384848484848
"170","Y04",2022,2,364.5,"STITHIANS",54.0060606060606
"171","Y04",2023,2,335.9,"STITHIANS",14.409375
"172","Y05",2013,0,0,"STITHIANS",-194.304761904762
"173","Y05",2014,3,708.2,"STITHIANS",378.860714285714
"174","Y05",2015,2,377.5,"STITHIANS",-142.716129032258
"175","Y05",2016,2,476,"STITHIANS",33.8878787878788
