"","DATE","OBSERVER","ID","BOX","BTO","COMBINATION","RFID.GEN","RFID","CODE","EXACT","SEX","AGE","WING","TARSUS","WEIGHT","HEADBILL","BILL","BP","BLED.CORT","BLED.SEX","FEATHER","PARTNER.ID","MOTHER.ID","FATHER.ID","TIME","COMPANIONS","RFID.WORKS","RFID.CHANGED","AGGR","BITES","WRIG","TONIC","ATTEMPT","MOULT","LOCATION","NOTES","year","known_age","min_age"
"22",2013-03-25,"GM","J23","","EY40790","YMRZW",NA,"","RINGED",1,"F","5","229","44.4",210,"","","N",0,1,1,"J22","","","30-12-1899 09:20:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Stithians. Ladder trap (2)",2013,1,12
"23",2013-04-17,"GM","J30","","EY40820","RMRRZ",NA,"","RINGED",1,"M","6","232","45.9",233,"","","N",0,1,1,"J14 or J883","","","30-12-1899 10:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Stithians. Ladder trap (2)",2013,0,13
"24",2013-04-17,"GM","J31","","EY40821","RMGY",NA,"","RINGED",1,"M","6","240","45.5",263,"","","N",0,1,1,"","","","30-12-1899 12:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Stithians. Garden trap",2013,0,13
"25",2013-04-17,"GM","J32","","EY40824","RMGZBZ",NA,"","RINGED",1,"M","6","244","46.5",262,"","","N",0,1,1,"J33","","","30-12-1899 14:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Stithians. Ladder trap (2)",2013,0,13
"26",2013-04-17,"GM","J33","","EY40825","RMYO",NA,"","RINGED",1,"F","6","229","43.1",226,"","","N",0,1,1,"J32","","","30-12-1899 14:35:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Stithians. Ladder trap (2)",2013,0,13
"27",2013-04-17,"GM","J34","","EY40826","RMSO",NA,"","RINGED",1,"F","6","231","42.4",267,"","","Y",0,1,1,"","","","30-12-1899 16:25:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap. Egg forming",2013,0,13
"28",2013-04-17,"GM","J35","","EY40827","RMGZS",NA,"","RINGED",1,"F","6","234","42.9",214,"","","N",0,1,1,"","","","30-12-1899 16:40:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap. Spent until 26/04/2013 as RMGZY, a duplicate of J15. Changed on first recapture (9 days later)",2013,0,13
"29",2013-04-17,"GM","J36","","EY40828","RMYS",NA,"","RINGED",1,"F","6","232","38.9",245,"","","Y",0,1,1,"","","","30-12-1899 16:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap. Egg forming",2013,0,13
"30",2013-04-17,"GM","J37","","EY40829","RMBS",NA,"","RINGED",1,"M","6","239","44.1",252,"","","N",0,1,1,"","","","30-12-1899 17:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"31",2013-04-17,"GM","J38","","EY40830","RMRO",NA,"","RINGED",1,"M","6","234","46.2",241,"","","N",0,1,1,"","","","30-12-1899 17:10:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"32",2013-04-17,"GM","J39","","EY40831","RMGZGZ",NA,"","RINGED",1,"F","6","230","43.0",224,"","","N",0,1,1,"","","","30-12-1899 17:20:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,0,13
"33",2013-04-17,"GM","J40","","EY40832","YMBO",NA,"","RINGED",1,"F","5","230","45.2",216,"","","N",0,1,1,"","","","30-12-1899 17:35:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,1,12
"34",2013-04-17,"GM","J41","","EY40833","YMYW",NA,"","RINGED",1,"F","5","229","42.7",216,"","","N",0,1,1,"","","","30-12-1899 17:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,1,12
"35",2013-04-17,"GM","J42","","EY40834","YMGZW",NA,"","RINGED",1,"F","5","223","42.8",193,"","","N",0,1,1,"","","","30-12-1899 18:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose ladder trap",2013,1,12
"36",2013-04-22,"GM","J78","","EY40836","RMRZS",NA,"","RINGED",1,"F","6","232","43.4",245,"","","Y",0,1,1,"","","","30-12-1899 14:35:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Stithians",2013,0,13
"37",2013-04-22,"GM","J79","","EY40837","RMWB",NA,"","RINGED",1,"M","6","238","44.6",255,"","","N",0,1,1,"","","","30-12-1899 14:45:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Stithians",2013,0,13
"38",2013-04-22,"GM","J80","","EY40840","RMBGZ",NA,"","RINGED",1,"M","6","232","43.4",277,"","","N",0,1,1,"","","","30-12-1899 17:45:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose",2013,0,13
