"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"69","Z26","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"70","Z43","2022-04-15","Incubation","Z",1,0,-0.0238095238095237,0,NA,NA,NA
"71","Y35","2022-04-15","Incubation","Y",2,0,1.02857142857143,0,NA,NA,NA
"72","Z38","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"73","Z18","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"74","Z05","2022-04-15","Incubation","Z",1,0,-0.0238095238095237,0,NA,NA,NA
"75","Z29","2022-04-15","Incubation","Z",2,0,0.976190476190476,0,NA,NA,NA
"76","Z41","2022-04-15","Incubation","Z",5,0,3.97619047619048,0,NA,NA,NA
"77","Z44","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"78","Z16","2022-04-15","Incubation","Z",2,0,0.976190476190476,0,NA,NA,NA
"79","Z17","2022-04-15","Incubation","Z",2,0,0.976190476190476,0,NA,NA,NA
"80","Z33","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"81","Z37","2022-04-15",NA,"Z",0,0,-1.02380952380952,0,NA,NA,NA
"82","Z03","2022-04-15","Incubation","Z",3,0,1.97619047619048,0,NA,NA,NA
"83","Z45","2022-04-15","Incubation","Z",1,0,-0.0238095238095237,0,NA,NA,NA
"84","Z39","2022-04-15","Incubation","Z",4,0,2.97619047619048,0,NA,NA,NA
"85","Z42","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"86","Z40","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"87","Z21","2022-04-15","Pre-Lay","Z",0,0,-1.02380952380952,0,NA,NA,NA
"88","Z35","2022-04-15","Incubation","Z",1,0,-0.0238095238095237,0,NA,NA,NA
"89","X20","2022-04-15","Pre-Lay","X",0,0,-1,0,NA,NA,NA
"90","X21","2022-04-15","Pre-Lay","X",0,0,-1,0,NA,NA,NA
"91","X22","2022-04-15","Pre-Lay","X",0,0,-1,0,NA,NA,NA
"92","MW02","2022-04-15",NA,"M",0,0,0,0,NA,NA,NA
"93","Z09","2022-04-15","Incubation","Z",2,0,0.976190476190476,0,NA,NA,NA
"94","X18","2022-04-15","Incubation","X",2,0,1,0,NA,NA,NA
