"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"4348","Y08","2022-06-03","Provisioning","Y",0,3,0,1.74285714285714,NA,"225.964374403056",11.5554722556735
"4349","Z07","2022-06-03","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4350","Z27","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"211.531518624642",1.22463065172656
"4351","X36","2022-06-03","Provisioning","X",0,1,0,-0.0588235294117647,NA,"228.535380116959",24.0195591885442
"4352","X38","2022-06-03","Provisioning","X",0,2,0,0.941176470588235,NA,"unkown",NA
"4353","X39","2022-06-03","Provisioning","X",0,3,0,1.94117647058824,NA,"180.064250493097",-24.4515704353178
"4354","Y26","2022-06-03","Provisioning","Y",0,3,0,1.74285714285714,NA,"197.526023391813",-16.8828787555695
"4355","Y11","2022-06-03","Provisioning","Y",0,2,0,0.742857142857143,NA,"214.225",-0.183902147382469
"4356","Y12","2022-06-03","Fail","Y",0,0,0,-1.25714285714286,NA,NA,NA
"4357","Y30","2022-06-03","Provisioning","Y",0,2,0,0.742857142857143,NA,"222.062941176471",7.65403902908855
"4358","Y31","2022-06-03","Provisioning","Y",0,1,0,-0.257142857142857,NA,"246.025",31.6160978526175
"4359","Y23","2022-06-03","Fledge","Y",0,0,0,-1.25714285714286,NA,NA,NA
"4360","Z32","2022-06-03","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4361","Z34","2022-06-03",NA,"Z",0,0,0,-1.45238095238095,NA,NA,NA
"4362","Z22","2022-06-03","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4363","Y04","2022-06-03","Provisioning","Y",0,2,0,0.742857142857143,NA,"178.381417624521",-36.0274845228615
"4364","Z13","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"235.643695014663",25.3368070417476
"4365","Z25","2022-06-03","Provisioning","Z",0,3,0,1.54761904761905,NA,"unkown",NA
"4366","Z10","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"243.093294460641",32.7864064877256
"4367","Z23","2022-06-03","Provisioning","Z",0,3,0,1.54761904761905,NA,"221.076122254059",10.7692342811436
"4368","Y14","2022-06-03","Provisioning","Y",0,3,0,1.74285714285714,NA,"163.204322766571",-51.2045793808115
"4369","X01","2022-06-03",NA,"X",0,0,0,-1.05882352941176,NA,NA,NA
"4370","X27","2022-06-03","Fail","X",0,0,0,-1.05882352941176,NA,NA,NA
"4371","X35","2022-06-03","Fledge","X",0,0,0,-1.05882352941176,NA,NA,NA
"4372","Y34","2022-06-03","Provisioning","Y",0,1,0,-0.257142857142857,246.4,"246.4",31.9910978526175
"4373","Y13","2022-06-03",NA,"Y",0,0,0,-1.25714285714286,NA,NA,NA
"4374","X28","2022-06-03",NA,"X",0,0,0,-1.05882352941176,NA,NA,NA
"4375","Y24","2022-06-03","Provisioning","Y",0,4,0,2.74285714285714,NA,"206.965306122449",-7.44359602493347
"4376","Y32","2022-06-03","Provisioning","Y",0,3,0,1.74285714285714,NA,"193.42962962963",-20.9792725177525
"4377","Y33","2022-06-03","Provisioning","Y",0,2,0,0.742857142857143,NA,"218.5",4.09109785261754
"4378","Z31","2022-06-03","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4379","Z02","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"unkown",NA
"4380","Z08","2022-06-03","Provisioning","Z",0,3,0,1.54761904761905,NA,"162.492156862745",-47.8147311101704
"4381","Z26","2022-06-03","Provisioning","Z",0,3,0,1.54761904761905,NA,"173.496862745098",-36.8100252278174
"4382","Z43","2022-06-03","Provisioning","Z",0,1,0,-0.452380952380952,NA,"unkown",NA
"4383","Y35","2022-06-03","Fail","Y",0,0,0,-1.25714285714286,NA,NA,NA
"4384","Z38","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"215.893823529412",5.58693555649657
"4385","Z18","2022-06-03","Provisioning","Z",0,1,0,-0.452380952380952,NA,"200.382798833819",-9.92408913909642
"4386","Z05","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"243.93064516129",33.6237571883746
"4387","Z29","2022-06-03","Fledge","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4388","Z41","2022-06-03","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4389","Z44","2022-06-03","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4390","Z16","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"216.786588921283",6.47970094836757
"4391","Z17","2022-06-03","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4392","Z33","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"162.575",-47.7318879729154
"4393","Z37","2022-06-03",NA,"Z",0,0,0,-1.45238095238095,NA,NA,NA
"4394","Z03","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"214.557282502444",4.25039452952856
"4395","Z45","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"181.724403056351",-28.5824849165644
"4396","Z39","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"233.91431372549",23.6074257525746
"4397","Z42","2022-06-03","Provisioning","Z",0,1,0,-0.452380952380952,NA,"217.311594202899",7.00470622998355
"4398","Z40","2022-06-03","Provisioning","Z",0,3,0,1.54761904761905,NA,"208.236724806202",-2.07016316671343
"4399","Z21","2022-06-03","Provisioning","Z",0,3,0,1.54761904761905,NA,"204.281725146199",-6.02516282671644
"4400","Z35","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"244.237354651163",33.9304666782476
"4401","X20","2022-06-03","Provisioning","X",0,1,0,-0.0588235294117647,NA,"204.237037037037",-0.27878389137777
"4402","X21","2022-06-03","Provisioning","X",0,1,0,-0.0588235294117647,NA,"unkown",NA
"4403","X22","2022-06-03","Provisioning","X",0,2,0,0.941176470588235,NA,"211.862719298246",7.34689836983122
"4404","MW02","2022-06-03",NA,"M",0,0,0,0,NA,NA,NA
"4405","Z09","2022-06-03","Provisioning","Z",0,2,0,0.547619047619048,NA,"unkown",NA
"4406","X18","2022-06-03","Provisioning","X",0,2,0,0.941176470588235,NA,"175.561470588235",-28.9543503401798
"4407","MW06","2022-06-03",NA,"M",0,0,0,0,NA,NA,NA
"4408","M03","2022-06-03",NA,"M",0,0,0,0,NA,NA,NA
"4409","MW01","2022-06-03",NA,"M",0,0,0,0,NA,NA,NA
"4410","Z46","2022-06-03",NA,"Z",0,0,0,-1.45238095238095,NA,NA,NA
"4411","Z30","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"228.780791788856",18.769268915902
"4412","Y27","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"229.50612244898",15.2851835247758
"4413","Z15","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4414","Y15","2022-06-04",NA,"Y",0,0,0,-1.22857142857143,NA,NA,NA
"4415","Z24","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"210.075757575758",0.064234702803958
"4416","Z14","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"225.966666666667",15.955143793713
"4417","X33","2022-06-04","Provisioning","X",0,2,0,0.941176470588235,NA,"173.223099415205",-28.925417679182
"4418","Y06","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"181.491202346041",-32.7297365781631
"4419","Y19","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4420","Y25","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"206.820614035088",-7.40032488911615
"4421","X31","2022-06-04","Provisioning","X",0,1,0,-0.0588235294117647,NA,"258.11778425656",55.969267162173
"4422","Z06","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4423","Z20","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,192.05,"192.05",-17.961522872954
"4424","X25","2022-06-04","Provisioning","X",0,2,0,0.941176470588235,NA,"209.305202312139",7.15668521775197
"4425","Y01","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"227.479325513196",13.2583865889918
"4426","Y18","2022-06-04","Provisioning","Y",0,3,0,1.77142857142857,NA,"186.659237536657",-27.5617013875471
"4427","Y09","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4428","Y07","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4429","Y29","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4430","Y10","2022-06-04","Fledge","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4431","X32","2022-06-04","Provisioning","X",0,1,0,-0.0588235294117647,NA,"197.390379008746",-4.75813808564101
"4432","Y28","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"225.738011695906",11.5170727717019
"4433","Y02","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4434","Y03","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4435","Y21","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4436","X40","2022-06-04",NA,"X",0,0,0,-1.05882352941176,NA,NA,NA
"4437","Z28","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4438","Y17","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4439","Y05","2022-06-04","Provisioning","Y",0,1,0,-0.228571428571429,NA,"275.022549019608",60.8016100954038
"4440","Y20","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4441","Y22","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"223.409054726368",9.18811580216385
"4442","Z19","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4443","X23","2022-06-04","Fail","X",0,0,0,-1.05882352941176,NA,NA,NA
"4444","Y16","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"unkown",NA
"4445","Z11","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"188.776608187135",-21.234914685819
"4446","Y08","2022-06-04","Provisioning","Y",0,3,0,1.77142857142857,NA,"225.330754536772",11.1098156125678
"4447","Z07","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4448","Z27","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"210.947277936963",0.935755064008958
"4449","X36","2022-06-04","Provisioning","X",0,1,0,-0.0588235294117647,NA,"227.882456140351",25.733939045964
"4450","X38","2022-06-04","Provisioning","X",0,2,0,0.941176470588235,NA,"unkown",NA
"4451","X39","2022-06-04","Provisioning","X",0,3,0,1.94117647058824,NA,"179.561834319527",-22.58668277486
"4452","Y26","2022-06-04","Provisioning","Y",0,3,0,1.77142857142857,NA,"196.985380116959",-17.2355588072452
"4453","Y11","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"213.634375",-0.586563924204142
"4454","Y12","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4455","Y30","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"221.444411764706",7.22347284050184
"4456","Y31","2022-06-04","Provisioning","Y",0,1,0,-0.228571428571429,NA,"250.883333333333",36.6623944091289
"4457","Y23","2022-06-04","Fledge","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4458","Z32","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4459","Z34","2022-06-04",NA,"Z",0,0,0,-1.45238095238095,NA,NA,NA
"4460","Z22","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4461","Y04","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"177.897844827586",-36.3230940966181
"4462","Z13","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"234.9642228739",24.952700000946
"4463","Z25","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"unkown",NA
"4464","Z10","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"242.407725947522",32.396203074568
"4465","Z23","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"220.471346704871",10.459823831917
"4466","Y14","2022-06-04","Provisioning","Y",0,3,0,1.77142857142857,NA,"162.756484149856",-51.4644547743482
"4467","X01","2022-06-04",NA,"X",0,0,0,-1.05882352941176,NA,NA,NA
"4468","X27","2022-06-04","Fail","X",0,0,0,-1.05882352941176,NA,NA,NA
"4469","X35","2022-06-04","Fledge","X",0,0,0,-1.05882352941176,NA,NA,NA
"4470","Y34","2022-06-04","Provisioning","Y",0,1,0,-0.228571428571429,NA,"245.707624633431",31.4866857092269
"4471","Y13","2022-06-04",NA,"Y",0,0,0,-1.22857142857143,NA,NA,NA
"4472","X28","2022-06-04",NA,"X",0,0,0,-1.05882352941176,NA,NA,NA
"4473","Y24","2022-06-04","Provisioning","Y",0,3,0,1.77142857142857,NA,"206.388921282799",-7.83201764140514
"4474","Y32","2022-06-04","Provisioning","Y",0,3,0,1.77142857142857,NA,"192.892592592593",-21.3283463316112
"4475","Y33","2022-06-04","Provisioning","Y",0,2,0,0.771428571428571,NA,"220.15",5.92906107579586
"4476","Z31","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4477","Z02","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"unkown",NA
"4478","Z08","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"162.045098039216",-47.966424833738
"4479","Z26","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"173.018039215686",-36.993483657268
"4480","Z43","2022-06-04","Provisioning","Z",0,1,0,-0.452380952380952,NA,"unkown",NA
"4481","Y35","2022-06-04","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4482","Z38","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"215.291764705882",5.28024183292797
"4483","Z18","2022-06-04","Provisioning","Z",0,1,0,-0.452380952380952,NA,"199.824198250729",-10.187324622225
"4484","Z05","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"243.246774193548",33.235251320594
"4485","Z29","2022-06-04","Fledge","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4486","Z41","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4487","Z44","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4488","Z16","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"216.173906705539",6.16238383258496
"4489","Z17","2022-06-04","Fail","Z",0,0,0,-1.45238095238095,NA,NA,NA
"4490","Z33","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,166.15,"166.15",-43.861522872954
"4491","Z37","2022-06-04",NA,"Z",0,0,0,-1.45238095238095,NA,NA,NA
"4492","Z03","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"213.94403714565",3.93251427269595
"4493","Z45","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"181.221203438395",-28.790319434559
"4494","Z39","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"233.259215686275",23.247692813321
"4495","Z42","2022-06-04","Provisioning","Z",0,1,0,-0.452380952380952,NA,"216.717391304348",6.70586843139398
"4496","Z40","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"207.662572674419",-2.34895019853502
"4497","Z21","2022-06-04","Provisioning","Z",0,3,0,1.54761904761905,NA,"203.713450292398",-6.29807258055604
"4498","Z35","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"243.556976744186",33.545453871232
"4499","X20","2022-06-04","Provisioning","X",0,1,0,-0.0588235294117647,NA,"203.674074074074",1.525556979687
"4500","X21","2022-06-04","Provisioning","X",0,1,0,-0.0588235294117647,186,"186",-16.148517094387
"4501","X22","2022-06-04","Provisioning","X",0,2,0,0.941176470588235,NA,"211.266959064327",9.11844196993999
"4502","MW02","2022-06-04",NA,"M",0,0,0,0,NA,NA,NA
"4503","Z09","2022-06-04","Provisioning","Z",0,2,0,0.547619047619048,NA,"unkown",NA
"4504","X18","2022-06-04","Provisioning","X",0,2,0,0.941176470588235,NA,"175.063382352941",-27.085134741446
"4505","MW06","2022-06-04",NA,"M",0,0,0,0,NA,NA,NA
"4506","M03","2022-06-04",NA,"M",0,0,0,0,NA,NA,NA
"4507","MW01","2022-06-04",NA,"M",0,0,0,0,NA,NA,NA
"4508","Z46","2022-06-04",NA,"Z",0,0,0,-1.45238095238095,NA,NA,NA
"4509","Z30","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"228.146187683284",22.4331022994226
"4510","Y27","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"228.858163265306",14.8251875642802
"4511","Z15","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4512","Y15","2022-06-05",NA,"Y",0,0,0,-1.22857142857143,NA,NA,NA
"4513","Z24","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"209.478787878788",3.76570249492656
"4514","Z14","2022-06-05","Fledge","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4515","X33","2022-06-05","Provisioning","X",0,0,0,-0.941176470588235,NA,"172.754970760234",-28.8253616849548
"4516","Y06","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"180.988269794721",-33.0447059063048
"4517","Y19","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4518","Y25","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"206.244152046784",-7.78882365424178
"4519","X31","2022-06-05","Provisioning","X",0,1,0,0.0588235294117647,NA,"257.38250728863",55.8021748434412
"4520","Z06","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4521","Z20","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"191.510441176471",-14.2026442073904
"4522","X25","2022-06-05","Provisioning","X",0,2,0,1.05882352941176,NA,"208.718352601156",7.13802015596721
"4523","Y01","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"226.834213098729",12.8012373977032
"4524","Y18","2022-06-05","Provisioning","Y",0,3,0,1.77142857142857,NA,"186.131085043988",-27.9018906570378
"4525","Y09","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4526","Y07","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4527","Y29","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4528","Y10","2022-06-05","Fledge","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4529","X32","2022-06-05","Provisioning","X",0,1,0,0.0588235294117647,NA,"196.83556851312",-4.74476393206879
"4530","Y28","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"225.100584795322",11.0676090942962
"4531","Y02","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4532","Y03","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4533","Y21","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4534","X40","2022-06-05",NA,"X",0,0,0,-0.941176470588235,NA,NA,NA
"4535","Z28","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4536","Y17","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4537","Y05","2022-06-05","Provisioning","Y",0,1,0,-0.228571428571429,NA,"274.247058823529",60.2140831225032
"4538","Y20","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4539","Y22","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"222.763582089552",8.73060638852621
"4540","Z19","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4541","X23","2022-06-05","Fail","X",0,0,0,-0.941176470588235,NA,NA,NA
"4542","Y16","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"unkown",NA
"4543","Z11","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"188.250487329435",-17.4625980544265
"4544","Y08","2022-06-05","Provisioning","Y",0,3,0,1.77142857142857,NA,"224.697134670487",10.6641589694612
"4545","Z07","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4546","Z27","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"210.363037249284",4.64995186542254
"4547","X36","2022-06-05","Provisioning","X",0,1,0,0.0588235294117647,NA,"227.229532163743",25.6491997185542
"4548","X38","2022-06-05","Provisioning","X",0,2,0,1.05882352941176,NA,"unkown",NA
"4549","X39","2022-06-05","Provisioning","X",0,3,0,2.05882352941176,NA,"179.059418145957",-22.5209142992318
"4550","Y26","2022-06-05","Provisioning","Y",0,3,0,1.77142857142857,NA,"196.444736842105",-17.5882388589208
"4551","Y11","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"213.04375",-0.989225701025788
"4552","Y12","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4553","Y30","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"220.825882352941",6.79290665191522
"4554","Y31","2022-06-05","Provisioning","Y",0,1,0,-0.228571428571429,NA,"255.741666666667",41.7086909656412
"4555","Y23","2022-06-05","Fledge","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4556","Z32","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4557","Z34","2022-06-05",NA,"Z",0,0,0,-1.23809523809524,NA,NA,NA
"4558","Z22","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4559","Y04","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,NA,"177.414272030651",-36.6187036703748
"4560","Z13","2022-06-05","Fledge","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4561","Z25","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"unkown",NA
"4562","Z10","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"241.722157434402",36.0090720505405
"4563","Z23","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"219.866571155683",14.1534857718216
"4564","Y14","2022-06-05","Provisioning","Y",0,3,0,1.77142857142857,NA,"162.308645533141",-51.7243301678848
"4565","X01","2022-06-05",NA,"X",0,0,0,-0.941176470588235,NA,NA,NA
"4566","X27","2022-06-05","Fail","X",0,0,0,-0.941176470588235,NA,NA,NA
"4567","X35","2022-06-05","Fledge","X",0,0,0,-0.941176470588235,NA,NA,NA
"4568","Y34","2022-06-05","Provisioning","Y",0,1,0,-0.228571428571429,NA,"245.015249266862",30.9822735658362
"4569","Y13","2022-06-05",NA,"Y",0,0,0,-1.22857142857143,NA,NA,NA
"4570","X28","2022-06-05",NA,"X",0,0,0,-0.941176470588235,NA,NA,NA
"4571","Y24","2022-06-05","Provisioning","Y",0,3,0,1.77142857142857,NA,"205.812536443149",-8.22043925787676
"4572","Y32","2022-06-05","Provisioning","Y",0,3,0,1.77142857142857,NA,"192.355555555556",-21.6774201454698
"4573","Y33","2022-06-05","Provisioning","Y",0,2,0,0.771428571428571,221.8,"221.8",7.76702429897423
"4574","Z31","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4575","Z02","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"unkown",NA
"4576","Z08","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"161.598039215686",-44.1150461681755
"4577","Z26","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"172.539215686275",-33.1738696975864
"4578","Z43","2022-06-05","Provisioning","Z",0,1,0,-0.238095238095238,NA,"unkown",NA
"4579","Y35","2022-06-05","Fail","Y",0,0,0,-1.22857142857143,NA,NA,NA
"4580","Z38","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"214.689705882353",8.97662049849154
"4581","Z18","2022-06-05","Provisioning","Z",0,1,0,-0.238095238095238,NA,"199.265597667638",-6.44748771622346
"4582","Z05","2022-06-05","Provisioning","Z",0,1,0,-0.238095238095238,NA,"242.562903225806",36.8498178419445
"4583","Z29","2022-06-05","Fledge","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4584","Z41","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4585","Z44","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4586","Z16","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"215.561224489796",9.84813910593454
"4587","Z17","2022-06-05","Fail","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4588","Z33","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"165.697653958944",-40.0154314249175
"4589","Z37","2022-06-05",NA,"Z",0,0,0,-1.23809523809524,NA,NA,NA
"4590","Z03","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"213.330791788856",7.61770640499455
"4591","Z45","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"180.718003820439",-24.9950815634224
"4592","Z39","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"232.604117647059",26.8910322631976
"4593","Z42","2022-06-05","Provisioning","Z",0,1,0,-0.238095238095238,NA,"216.123188405797",10.4101030219356
"4594","Z40","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"207.088420542636",1.37533515877453
"4595","Z21","2022-06-05","Provisioning","Z",0,3,0,1.76190476190476,NA,"203.145175438597",-2.56790994526446
"4596","Z35","2022-06-05","Fledge","Z",0,0,0,-1.23809523809524,NA,NA,NA
"4597","X20","2022-06-05","Provisioning","X",0,1,0,0.0588235294117647,NA,"203.111111111111",1.53077866592221
"4598","X21","2022-06-05","Provisioning","X",0,1,0,0.0588235294117647,NA,"185.475370919881",-16.1049615253078
"4599","X22","2022-06-05","Provisioning","X",0,2,0,1.05882352941176,NA,"210.671198830409",9.09086638522021
"4600","MW02","2022-06-05",NA,"M",0,0,0,0,NA,NA,NA
"4601","Z09","2022-06-05","Provisioning","Z",0,2,0,0.761904761904762,NA,"unkown",NA
"4602","X18","2022-06-05","Provisioning","X",0,2,0,1.05882352941176,NA,"174.565294117647",-27.0150383275418
"4603","MW06","2022-06-05",NA,"M",0,0,0,0,NA,NA,NA
"4604","M03","2022-06-05",NA,"M",0,0,0,0,NA,NA,NA
"4605","MW01","2022-06-05",NA,"M",0,0,0,0,NA,NA,NA
"4606","Z46","2022-06-05",NA,"Z",0,0,0,-1.23809523809524,NA,NA,NA
"4607","Z30","2022-06-06","Provisioning","Z",0,2,0,0.80952380952381,NA,"227.511583577713",22.7732304656494
"4608","Y27","2022-06-06","Provisioning","Y",0,2,0,1.02857142857143,NA,"228.210204081633",15.238606091127
"4609","Z15","2022-06-06","Fail","Z",0,0,0,-1.19047619047619,NA,NA,NA
"4610","Y15","2022-06-06",NA,"Y",0,0,0,-0.971428571428571,NA,NA,NA
"4611","Z24","2022-06-06","Provisioning","Z",0,3,0,1.80952380952381,NA,"208.881818181818",4.14346506975443
"4612","Z14","2022-06-06","Fledge","Z",0,0,0,-1.19047619047619,NA,NA,NA
"4613","X33","2022-06-06","Fledge","X",0,0,0,-0.764705882352941,NA,NA,NA
"4614","Y06","2022-06-06","Provisioning","Y",0,2,0,1.02857142857143,NA,"180.485337243402",-32.486260747104
"4615","Y19","2022-06-06","Fail","Y",0,0,0,-0.971428571428571,NA,NA,NA
"4616","Y25","2022-06-06","Provisioning","Y",0,2,0,1.02857142857143,NA,"205.66769005848",-7.30390793202602
"4617","X31","2022-06-06","Fledge","X",0,0,0,-0.764705882352941,NA,NA,NA
"4618","Z06","2022-06-06","Fail","Z",0,0,0,-1.19047619047619,NA,NA,NA
