"","site","date","phase"
"792","Z",2022-04-09,"Pre-Lay"
"793","Z",2022-04-10,"Pre-Lay"
"794","Z",2022-04-11,"Pre-Lay"
"795","Z",2022-04-12,"Pre-Lay"
"796","Z",2022-04-13,"Pre-Lay"
"797","Z",2022-04-14,"Pre-Lay"
"798","Z",2022-04-15,"Pre-Lay"
"799","Z",2022-04-16,"Incubation"
"800","Z",2022-04-17,"Incubation"
"801","Z",2022-04-18,"Incubation"
"802","Z",2022-04-19,"Incubation"
"803","Z",2022-04-20,"Incubation"
"804","Z",2022-04-21,"Incubation"
"805","Z",2022-04-22,"Incubation"
"806","Z",2022-04-23,"Incubation"
"807","Z",2022-04-24,"Incubation"
"808","Z",2022-04-25,"Incubation"
"809","Z",2022-04-26,"Incubation"
"810","Z",2022-04-27,"Incubation"
"811","Z",2022-04-28,"Incubation"
"812","Z",2022-04-29,"Incubation"
"813","Z",2022-04-30,"Incubation"
"814","Z",2022-05-01,"Incubation"
"815","Z",2022-05-02,"Incubation"
"816","Z",2022-05-03,"Incubation"
"817","Z",2022-05-04,"Incubation"
"818","Z",2022-05-05,"Incubation"
"819","Z",2022-05-06,"Provisioning"
"820","Z",2022-05-07,"Provisioning"
"821","Z",2022-05-08,"Provisioning"
"822","Z",2022-05-09,"Provisioning"
"823","Z",2022-05-10,"Provisioning"
"824","Z",2022-05-11,"Provisioning"
"825","Z",2022-05-12,"Provisioning"
"826","Z",2022-05-13,"Provisioning"
"827","Z",2022-05-14,"Provisioning"
"828","Z",2022-05-15,"Provisioning"
"829","Z",2022-05-16,"Provisioning"
"830","Z",2022-05-17,"Provisioning"
"831","Z",2022-05-18,"Provisioning"
"832","Z",2022-05-19,"Provisioning"
"833","Z",2022-05-20,"Provisioning"
"834","Z",2022-05-21,"Provisioning"
"835","Z",2022-05-22,"Provisioning"
"836","Z",2022-05-23,"Provisioning"
"837","Z",2022-05-24,"Provisioning"
"838","Z",2022-05-25,"Provisioning"
"839","Z",2022-05-26,"Provisioning"
"840","Z",2022-05-27,"Provisioning"
"841","Z",2022-05-28,"Provisioning"
"842","Z",2022-05-29,"Provisioning"
"843","Z",2022-05-30,"Provisioning"
"844","Z",2022-05-31,"Provisioning"
"845","Z",2022-06-01,"Provisioning"
"846","Z",2022-06-02,"Provisioning"
"847","Z",2022-06-03,"Provisioning"
"848","Z",2022-06-04,"Provisioning"
"849","Z",2022-06-05,"Provisioning"
"850","Z",2022-06-06,"Provisioning"
"851","Z",2022-06-07,"Provisioning"
"852","Z",2022-06-08,"Provisioning"
"853","Z",2022-06-09,"Fledge"
"854","Z",2022-06-10,"Fledge"
"855","Z",2022-06-11,"Fledge"
"856","Z",2022-06-12,"Fledge"
"857","Z",2022-06-13,"Fledge"
"858","Z",2022-06-14,"Fledge"
"859","Z",2022-06-15,"Fledge"
"860","Z",2022-06-16,"Fledge"
"861","Z",2022-06-17,"Fledge"
"862","Z",2022-06-18,"Fledge"
"863","Z",2022-06-19,"Fledge"
"864","Z",2022-06-20,"Fledge"
"865","Z",2022-06-21,"Fledge"
"866","Z",2022-06-22,"Fledge"
"867","Z",2022-06-23,"Fledge"
"868","Z",2022-06-24,"Fledge"
"869","Z",2022-06-25,"Fledge"
"870","Z",2022-06-26,"Fledge"
"871","Z",2022-06-27,"Fledge"
"872","Z",2022-06-28,"Fledge"
"873","Z",2022-06-29,"Fledge"
"874","Z",2023-03-25,"Pre-Lay"
"875","Z",2023-03-26,"Pre-Lay"
"876","Z",2023-03-27,"Pre-Lay"
"877","Z",2023-03-28,"Pre-Lay"
"878","Z",2023-03-29,"Pre-Lay"
"879","Z",2023-03-30,"Pre-Lay"
"880","Z",2023-03-31,"Pre-Lay"
"881","Z",2023-04-01,"Pre-Lay"
"882","Z",2023-04-02,"Pre-Lay"
"883","Z",2023-04-03,"Pre-Lay"
"884","Z",2023-04-04,"Pre-Lay"
"885","Z",2023-04-05,"Pre-Lay"
"886","Z",2023-04-06,"Pre-Lay"
"887","Z",2023-04-07,"Pre-Lay"
"888","Z",2023-04-08,"Pre-Lay"
"889","Z",2023-04-09,"Pre-Lay"
"890","Z",2023-04-10,"Pre-Lay"
"891","Z",2023-04-11,"Pre-Lay"
"892","Z",2023-04-12,"Pre-Lay"
"893","Z",2023-04-13,"Pre-Lay"
"894","Z",2023-04-14,"Pre-Lay"
"895","Z",2023-04-15,"Pre-Lay"
"896","Z",2023-04-16,"Pre-Lay"
"897","Z",2023-04-17,"Incubation"
"898","Z",2023-04-18,"Incubation"
"899","Z",2023-04-19,"Incubation"
"900","Z",2023-04-20,"Incubation"
"901","Z",2023-04-21,"Incubation"
"902","Z",2023-04-22,"Incubation"
"903","Z",2023-04-23,"Incubation"
"904","Z",2023-04-24,"Incubation"
"905","Z",2023-04-25,"Incubation"
"906","Z",2023-04-26,"Incubation"
"907","Z",2023-04-27,"Incubation"
"908","Z",2023-04-28,"Incubation"
"909","Z",2023-04-29,"Incubation"
"910","Z",2023-04-30,"Incubation"
"911","Z",2023-05-01,"Incubation"
"912","Z",2023-05-02,"Incubation"
"913","Z",2023-05-03,"Incubation"
"914","Z",2023-05-04,"Incubation"
"915","Z",2023-05-05,"Incubation"
"916","Z",2023-05-06,"Incubation"
"917","Z",2023-05-07,"Incubation"
"918","Z",2023-05-08,"Provisioning"
"919","Z",2023-05-09,"Provisioning"
"920","Z",2023-05-10,"Provisioning"
"921","Z",2023-05-11,"Provisioning"
"922","Z",2023-05-12,"Provisioning"
"923","Z",2023-05-13,"Provisioning"
"924","Z",2023-05-14,"Provisioning"
"925","Z",2023-05-15,"Provisioning"
"926","Z",2023-05-16,"Provisioning"
"927","Z",2023-05-17,"Provisioning"
"928","Z",2023-05-18,"Provisioning"
"929","Z",2023-05-19,"Provisioning"
"930","Z",2023-05-20,"Provisioning"
"931","Z",2023-05-21,"Provisioning"
"932","Z",2023-05-22,"Provisioning"
"933","Z",2023-05-23,"Provisioning"
"934","Z",2023-05-24,"Provisioning"
"935","Z",2023-05-25,"Provisioning"
"936","Z",2023-05-26,"Provisioning"
"937","Z",2023-05-27,"Provisioning"
"938","Z",2023-05-28,"Provisioning"
"939","Z",2023-05-29,"Provisioning"
"940","Z",2023-05-30,"Provisioning"
"941","Z",2023-05-31,"Provisioning"
"942","Z",2023-06-01,"Provisioning"
"943","Z",2023-06-02,"Provisioning"
"944","Z",2023-06-03,"Provisioning"
"945","Z",2023-06-04,"Provisioning"
"946","Z",2023-06-05,"Provisioning"
"947","Z",2023-06-06,"Provisioning"
"948","Z",2023-06-07,"Provisioning"
"949","Z",2023-06-08,"Provisioning"
"950","Z",2023-06-09,"Provisioning"
"951","Z",2023-06-10,"Provisioning"
"952","Z",2023-06-11,"Provisioning"
"953","Z",2023-06-12,"Fledge"
"954","Z",2023-06-13,"Fledge"
"955","Z",2023-06-14,"Fledge"
"956","Z",2023-06-15,"Fledge"
"957","Z",2023-06-16,"Fledge"
"958","Z",2023-06-17,"Fledge"
"959","Z",2023-06-18,"Fledge"
"960","Z",2023-06-19,"Fledge"
"961","Z",2023-06-20,"Fledge"
"962","Z",2023-06-21,"Fledge"
"963","Z",2023-06-22,"Fledge"
"964","Z",2023-06-23,"Fledge"
"965","Z",2023-06-24,"Fledge"
"966","Z",2023-06-25,"Fledge"
"967","Z",2023-06-26,"Fledge"
"968","Z",2023-06-27,"Fledge"
"969","Z",2023-06-28,"Fledge"
"970","Z",2023-06-29,"Fledge"
"971","Z",2023-06-30,"Fledge"
"972","Z",2023-07-01,"Fledge"
"973","Z",2023-07-02,"Fledge"
"974","Z",2023-07-03,"Fledge"
"975","Z",2023-07-04,"Fledge"
